dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-10,928939209,22234263957,Shoes,Boots,6.0,124.99,2.0,256.59,119.99,4.8,577.42
2023-07-07,311203232,3681480924,Men Clothes,Pants,20.0,0.0,0.0,0.0,64.9,0.07,4.75
2023-07-05,426378412,21968455359,Bags,Backpacks,0.0,54.6,1.83,132.18,54.6,0.79,54.49
2023-07-09,499950777,8184633529,Baby & Kids Fashion,Girl Shoes,6.0,56.9,1.0,56.9,58.9,0.95,60.24
2023-07-10,547119438,21220415585,Women Clothes,"Jackets, Coats & Vests",18.0,62.99,46.0,2977.01,69.99,29.71,1953.41
2023-07-04,379659209,19071278660,Bags,Laptop Bags,0.0,85.99,5.0,431.03,0.0,0.0,0.0
2023-07-07,499950777,18450065443,Baby & Kids Fashion,Girl Shoes,13.0,54.99,8.0,435.48,0.0,0.0,0.0
2023-07-07,443808233,18263390723,Men Clothes,Tops,18.0,0.0,0.0,0.0,59.99,1.26,106.3
2023-07-05,424512708,20774318916,Women Clothes,"Jackets, Coats & Vests",0.0,105.0,3.0,421.6,105.0,0.13,20.9
2023-07-10,335792741,16571343517,Baby & Kids Fashion,Girl Clothes,14.0,0.0,0.0,0.0,25.99,1.65,46.93
2023-07-07,340156061,22891338697,Women Clothes,Pants & Leggings,6.0,29.9,130.0,4308.49,0.0,0.0,0.0
2023-07-07,299547784,7452828953,Women Clothes,Jeans,2.0,68.9,1.0,79.11,0.0,0.0,0.0
2023-07-07,316168996,4260402730,Women Clothes,Jeans,22.0,0.0,0.0,0.0,189.9,0.03,6.33
2023-07-10,445382139,20543901288,Bags,Backpacks,0.0,65.99,27.0,1953.93,64.99,1.28,79.02
2023-07-11,425326129,21402224215,Baby & Kids Fashion,Baby & Kids Accessories,0.0,39.0,1.0,45.84,39.0,0.07,2.75
2023-07-07,322428714,6768709476,Bags,Crossbody & Shoulder Bags,0.0,39.0,36.5,1476.94,39.0,1.43,63.25
2023-07-09,528281798,18317363487,Shoes,Sneakers,18.0,69.9,66.0,5178.12,69.9,11.02,823.59
2023-07-10,387348115,9315675115,Shoes,Boots,14.0,129.99,6.0,819.48,129.99,0.75,100.12
2023-07-07,276832313,22332560790,Bags,Luggage,14.0,139.9,11.0,1894.8,149.5,0.27,47.55
2023-07-10,376576138,12814448061,Baby & Kids Fashion,Boy Shoes,18.0,47.9,8.5,492.6,47.9,4.57,233.54
2023-07-04,289495496,16901958855,Women Clothes,Pants & Leggings,6.0,41.9,10.0,441.5,41.9,0.93,43.95
2023-07-09,441234830,12994092122,Bags,Backpacks,20.0,79.9,2.0,167.21,79.9,0.27,21.39
2023-07-10,382454047,3029143798,Shoes,Sneakers,14.0,41.9,14.5,798.98,41.99,1.35,62.83
2023-07-04,218569440,8005593355,Underwear & Sleepwear,Women Underwear,18.0,57.99,25.0,1608.74,57.99,0.13,8.76
2023-07-08,335792741,16571343517,Baby & Kids Fashion,Girl Clothes,14.0,25.99,49.5,1407.91,0.0,0.0,0.0
2023-07-11,438062936,12812993507,Shoes,Flats,6.0,49.99,48.0,2843.08,58.9,6.35,398.76
2023-07-06,338130568,20027987283,Shoes,Flats,20.0,0.0,0.0,0.0,74.9,0.0,0.0
2023-07-08,632591584,9997557722,Shoes,Sandals & Flip Flops,20.0,0.0,0.0,0.0,41.9,0.57,26.55
