dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-07,528281798,12277253643,Shoes,Sneakers,0.0,39.9,35.0,1460.71,39.9,0.23,9.76
2023-07-09,389730142,16881283482,Baby & Kids Fashion,Girl Shoes,22.0,26.9,29.0,930.12,26.9,6.89,213.64
2023-07-04,299297248,4879162121,Women Clothes,Sets,10.0,67.9,18.0,1343.16,67.9,0.7,49.58
2023-07-05,289495496,17713810112,Women Clothes,Skirts,6.0,46.9,6.5,345.25,46.9,1.37,67.5
2023-07-07,409970247,15171545004,Bags,Luggage,19.0,249.9,31.0,8844.59,0.0,0.0,0.0
2023-07-06,770291729,16166247594,Women Clothes,Sets,18.0,0.0,0.0,0.0,74.99,9.23,703.08
2023-07-11,547119438,21220415585,Women Clothes,"Jackets, Coats & Vests",12.0,62.99,35.0,2309.31,64.99,4.22,272.36
2023-07-07,349197325,4367397513,Men Clothes,Jeans,21.0,114.9,69.0,8777.59,0.0,0.0,0.0
2023-07-04,409879819,19024526416,Underwear & Sleepwear,Socks & Stockings,14.0,0.0,0.0,0.0,39.0,0.78,28.41
2023-07-04,770291729,16166247594,Women Clothes,Sets,18.0,74.99,15.0,1281.4,74.99,8.73,660.37
2023-07-07,322431620,9418020375,Women Clothes,Tops,12.0,49.99,40.5,2007.09,52.5,1.2,64.02
2023-07-05,376576138,12814448061,Baby & Kids Fashion,Boy Shoes,10.0,47.9,20.0,1063.82,47.9,1.82,92.91
2023-07-08,382025098,9376544810,Women Clothes,"Jumpsuits, Playsuits & Overalls",0.0,35.94,3.0,115.29,0.0,0.0,0.0
2023-07-11,337517904,7796134611,Women Clothes,Pants & Leggings,10.0,44.99,8.5,580.88,44.99,2.56,136.23
2023-07-05,284890345,18867392709,Underwear & Sleepwear,Women Underwear,10.0,0.0,0.0,0.0,43.9,0.0,0.0
2023-07-05,296452733,13827941139,Women Clothes,Sets,14.0,0.0,0.0,0.0,57.9,0.03,1.93
2023-07-04,401637348,19471901890,Shoes,Boots,14.0,69.99,13.0,927.88,72.9,0.4,30.16
2023-07-06,770329934,19125968276,Baby & Kids Fashion,Girl Shoes,22.0,0.0,0.0,0.0,39.9,3.58,162.04
2023-07-11,670520249,22696015378,Men Clothes,Tops,22.0,0.0,0.0,0.0,99.9,0.0,0.0
2023-07-05,360652880,4996515341,Shoes,Boots,6.0,64.9,70.0,4747.76,69.9,10.27,682.57
2023-07-06,299297248,4879162121,Women Clothes,Sets,12.0,67.9,23.0,1671.53,67.9,0.68,53.76
2023-07-07,499950777,14163042893,Baby & Kids Fashion,Girl Shoes,12.0,64.99,9.0,605.29,76.9,0.75,60.37
2023-07-04,638457640,22110958004,Women Clothes,"Jackets, Coats & Vests",10.0,89.99,2.0,191.45,89.99,0.22,19.98
2023-07-04,306430046,11592323487,Bags,Crossbody & Shoulder Bags,10.0,39.0,14.33,611.92,39.9,1.36,61.54
2023-07-10,670520249,22696015378,Men Clothes,Tops,22.0,0.0,0.0,0.0,99.9,0.0,0.0
2023-07-05,445382139,18443893087,Bags,Travel Bags,0.0,63.99,1.0,64.41,63.99,0.63,35.74
2023-07-08,389730142,16881283482,Baby & Kids Fashion,Girl Shoes,22.0,26.9,24.0,817.72,26.9,6.09,186.38
2023-07-06,426378412,21968455359,Bags,Backpacks,0.0,54.6,1.0,54.81,54.6,0.86,58.89
2023-07-11,421422443,9048289110,Fashion Accessories,Women Watches,18.0,39.0,18.0,780.29,39.0,0.13,5.73
2023-07-07,326711631,17440545966,Women Clothes,Tops,11.0,0.0,0.0,0.0,102.9,0.03,3.43
2023-07-08,318538641,9224973390,Shoes,Boots,12.0,194.99,2.0,401.45,199.9,0.37,74.19
2023-07-05,325001757,6058475521,Women Clothes,"Jackets, Coats & Vests",6.0,39.0,17.5,787.45,39.0,1.0,43.83
2023-07-08,770291729,17367568473,Women Clothes,"Jackets, Coats & Vests",12.0,59.9,2.0,125.73,49.99,0.42,22.16
2023-07-05,314058852,5359521662,Women Clothes,Dresses,10.0,66.99,1.0,78.78,66.99,0.67,41.47
2023-07-09,663266449,20624195214,Women Clothes,Pants & Leggings,0.0,57.99,1.0,57.99,0.0,0.0,0.0
2023-07-05,287750271,19671565485,Men Clothes,Pants,6.0,76.99,2.0,166.61,76.99,0.37,33.48
2023-07-09,670520249,15549109365,Women Clothes,Sports & Outdoor Apparels,12.0,134.9,0.0,0.0,134.9,0.03,3.89
2023-07-09,301244935,17686984050,Baby & Kids Fashion,Girl Shoes,18.0,39.9,16.0,664.83,39.9,6.12,252.95
2023-07-08,313531142,5465447047,Shoes,Oxfords & Lace-Ups,14.0,0.0,0.0,0.0,69.9,0.0,0.0
2023-07-07,325001757,9159982525,Women Clothes,"Jackets, Coats & Vests",2.0,39.0,16.0,905.78,0.0,0.0,0.0
2023-07-08,609507916,15848901629,Men Clothes,Hoodies & Sweatshirts,12.0,0.0,0.0,0.0,53.9,0.52,29.69
2023-07-08,528281798,10647473708,Shoes,Boots,18.0,64.9,2.0,140.07,64.9,0.27,18.07
2023-07-07,300368017,18150062143,Baby & Kids Fashion,Girl Clothes,19.0,0.0,0.0,0.0,52.99,0.23,12.57
2023-07-07,301244935,17686984050,Baby & Kids Fashion,Girl Shoes,10.0,39.0,49.5,1948.58,39.9,3.76,159.96
2023-07-09,689233141,21526975193,Shoes,Heels,20.0,0.0,0.0,0.0,47.99,5.51,268.41
2023-07-04,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,10.0,39.9,67.0,2892.95,42.9,18.12,809.66
2023-07-05,493495224,13953369867,Shoes,Sandals & Flip Flops,14.0,0.0,0.0,0.0,23.0,8.9,258.48
2023-07-10,340156061,10294280439,Women Clothes,Pants & Leggings,22.0,0.0,0.0,0.0,29.99,1.47,62.02
